runway_id,airport_id,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,he_ident,he_latitude_deg,he_longitude_deg
234421,107,LBVD,6888,100,CON,0,0,9,44.0223999,22.8029995,27,44.0223999,22.82920074
246234,1650,LY89,3562,98,ASP,0,0,15,44.02259827,22.13439941,33,44.01390076,22.13990021
245988,20489,KMDS,5000,75,ASP,1,0,15,44.02289963,-97.09089661,33,44.01060104,-97.08249664
240197,21210,KTOB,4500,75,CON,1,0,16,44.02320099,-92.83239746,34,44.01119995,-92.82820129
241346,20751,KONO,5006,100,ASP,1,0,15,44.0257,-117.015999,33,44.014702,-117.011002
236997,4362,LIPR,9828,148,ASP,1,0,13,44.0284996,12.59700012,31,44.01200104,12.62650013
235943,4092,LFDB,3215,66,ASP,1,0,14,44.02880096,1.373700023,32,44.02259827,1.382419944
240027,23528,OG14,5000,50,ASP,0,0,15,44.03110123,-118.8509979,33,44.01779938,-118.8460007
235885,4167,LFNH,3937,66,ASP,0,0,13,44.03350067,5.072500229,31,44.02619934,5.083789825
247808,14904,8D9,1932,150,TURF-G,0,0,18,44.03580093,-97.53150177,36,44.0298996,-97.53230286
247807,14904,8D9,2672,150,TURF-G,1,0,13,44.03620148,-97.53829956,31,44.0306015,-97.53170013
241329,10214,36WI,3200,60,ASPH,1,0,18,44.0367012,-91.29969788,36,44.02780151,-91.29969788
246799,17097,KDAF,2700,60,ASPH-F,0,0,18,44.03710175,-90.08519745,36,44.02970123,-90.08509827
241794,20331,KLEW,5001,100,ASP,1,0,4,44.04219818,-70.2881012,22,44.05469894,-70.28019714
245756,21422,KY50,3300,60,ASP,1,0,13,44.04460144,-89.30919647,31,44.03860092,-89.29979706
245755,21422,KY50,2280,150,GRS,0,0,8,44.04499817,-89.31189728,26,44.04579926,-89.30329895
241908,3570,KGTB,4482,150,CON,1,0,8,44.04520035,-75.72869873,26,44.04930115,-75.71260071
241907,3570,KGTB,10000,150,CON,1,0,3,44.04550171,-75.72579956,21,44.07180023,-75.71530151
242214,20831,KPHP,3600,150,GRS,0,0,5,44.04719925,-101.6039963,23,44.05170059,-101.5920029
243538,3838,KRAP,3601,75,ASP,1,0,5,44.04790115,-103.064003,23,44.05250168,-103.052002
236971,4343,LIMG,4688,148,ASP,1,0,9,44.05089951,8.118479729,27,44.05020142,8.136309624
242215,20831,KPHP,4000,75,ASP,1,0,12,44.05130005,-101.6060028,30,44.04449844,-101.5940018
241795,20331,KLEW,2750,75,ASP,1,0,17,44.05160141,-70.28510284,35,44.04520035,-70.27960205
243539,3838,KRAP,8701,150,CON,1,0,14,44.05379868,-103.0650024,32,44.03279877,-103.0490036
246040,26418,UZ-0003,11675,157,CON,0,0,8,44.05419922,57.52569962,26,44.05400085,57.56999969
240156,19093,K80D,2978,50,ASP,1,0,18,44.05479813,-84.81240082,36,44.04719925,-84.81259918
240155,19093,K80D,2437,100,GRS,0,0,9,44.05490112,-84.81700134,27,44.0544014,-84.80819702
245487,20935,KRKD,3900,100,ASP,1,0,3,44.05630112,-69.10070038,21,44.06669998,-69.09719849
332818,332817,US-1170,4983,70,Dirt,0,0,9,44.06060028,-120.7890015,27,44.06060028,-120.7890015
245488,20935,KRKD,5007,100,ASP,1,0,13,44.06150055,-69.10839844,31,44.05659866,-69.09059906
241909,3570,KGTB,4999,150,CON,1,0,15,44.0617981,-75.72470093,33,44.0522995,-75.71099854
240646,18861,K4X4,3600,60,ASP,1,0,12,44.06349945,-98.53679657,30,44.05860138,-98.52500153
235841,4160,LFMS,4576,98,ASP,1,0,1,44.06349945,4.140220165,19,44.07580185,4.144000053
235011,1480,CPZ3,5000,90,ASP,0,0,06R,44.06470108,-77.34500122,24L,44.07389832,-77.33080292
256300,25231,U88,3850,125,TURF-G,0,0,10,44.06930161,-115.9380035,28,44.06470108,-115.9250031
347757,347739,US-5185,2764,50,Dirt,0,0,10,44.07027817,-120.8080597,28,44.06694412,-120.7986145
235012,1480,CPZ3,3026,150,ASP,0,1,10,44.07389832,-77.34359741,28,44.07419968,-77.3321991
235013,1480,CPZ3,3000,150,ASP,0,0,16,44.07559967,-77.34329987,34,44.06890106,-77.33640289
240024,20748,KONA,2553,75,ASP,0,0,17,44.07649994,-91.70359802,35,44.06949997,-91.70290375
257727,12285,5B9,2511,58,ASPH-F,1,0,1,44.0768013,-72.00710297,19,44.08359909,-72.00839996
244134,19231,KACQ,3398,75,ASP,1,0,15,44.07770157,-93.55580139,33,44.06930161,-93.55010223
236424,3994,LDZD,6561,147,ASP,1,0,4,44.07939911,15.34119987,22,44.09280014,15.35770035
238391,5669,LR81,8202,262,CON,1,0,11,44.08029938,24.40130043,29,44.07429886,24.43149948
240023,20748,KONA,5199,100,ASP,1,0,12,44.08280182,-91.7193985,30,44.07580185,-91.70220184
248194,15457,95MI,4000,80,TURF,0,0,12,44.08974075,-85.73735046,30,44.08430862,-85.72412872
240233,21020,KS75,3000,50,ASP,1,0,13,44.09500122,-116.9039993,31,44.08810043,-116.8980026
251721,16497,KBDN,5200,75,ASPH-E,0,0,16,44.10169983,-121.1999969,34,44.08739853,-121.1999969
234554,1924,CYTR,10000,200,ASP,1,0,6,44.10889816,-77.54219818,24,44.12599182,-77.51644135
241532,16045,9WN1,3403,32,ASPH-P,1,0,18,44.11029816,-88.68389893,36,44.10079956,-88.68389893
241049,23879,OR29,3375,40,ASP,0,0,17,44.11579895,-121.3330002,35,44.1067009,-121.3349991
344832,344831,33VT,1722,100,Turf,0,0,2,44.11611176,-72.56694031,20,44.12055588,-72.56472015
236425,3994,LDZD,8202,147,ASP,1,0,13,44.11640167,15.33570004,31,44.10039902,15.35739994
